"","id","cond","vibtype","blocknum","count","correct","rt"
"90","p8","armbody","baseline",2,48,29.1666666666667,2591.0625
"91","p8","armfront","2color",1,48,66.6666666666667,4520.16666666667
"92","p8","armfront","2color",2,48,85.4166666666667,2776.91666666667
"93","p8","armfront","4color",1,48,77.0833333333333,3394.1875
"94","p8","armfront","4color",2,48,87.5,3461.125
"95","p8","armfront","baseline",1,48,18.75,2869.29166666667
"96","p8","armfront","baseline",2,48,14.5833333333333,2544.54166666667
"97","p9","armbody","2color",1,48,75,2104.08333333333
"98","p9","armbody","2color",2,48,79.1666666666667,2132.375
"99","p9","armbody","4color",1,48,85.4166666666667,2575.5
"100","p9","armbody","4color",2,48,75,2808.66666666667
"101","p9","armbody","baseline",1,48,35.4166666666667,3030.22916666667
"102","p9","armbody","baseline",2,48,22.9166666666667,3063.72916666667
"103","p9","armfront","2color",1,48,93.75,1815.6875
"104","p9","armfront","2color",2,48,93.75,2135.29166666667
"105","p9","armfront","4color",1,48,93.75,2230.875
"106","p9","armfront","4color",2,48,95.8333333333333,2050.66666666667
"107","p9","armfront","baseline",1,48,85.4166666666667,2037.45833333333
"108","p9","armfront","baseline",2,48,77.0833333333333,2402.54166666667
"109","p10","armbody","2color",1,48,64.5833333333333,3149.95833333333
"110","p10","armbody","2color",2,48,85.4166666666667,3560.83333333333
"111","p10","armbody","4color",1,48,62.5,3193.95833333333
"112","p10","armbody","4color",2,48,64.5833333333333,3378.85416666667
"113","p10","armbody","baseline",1,48,22.9166666666667,3113.16666666667
"114","p10","armbody","baseline",2,48,4.16666666666667,3108.875
"115","p10","armfront","2color",1,48,81.25,1809.4375
"116","p10","armfront","2color",2,48,72.9166666666667,2434.58333333333
"117","p10","armfront","4color",1,48,79.1666666666667,3359.91666666667
"118","p10","armfront","4color",2,48,93.75,2973.5625
"119","p10","armfront","baseline",1,48,37.5,1482.89583333333
"120","p10","armfront","baseline",2,48,35.4166666666667,1817.39583333333
"121","p11","armbody","2color",1,48,89.5833333333333,4328.0625
"122","p11","armbody","2color",2,48,81.25,3908.83333333333
"123","p11","armbody","4color",1,48,75,4663.4375
"124","p11","armbody","4color",2,48,75,4041.85416666667
"125","p11","armbody","baseline",1,48,12.5,3506.125
"126","p11","armbody","baseline",2,48,18.75,3216.45833333333
"127","p11","armfront","2color",1,48,54.1666666666667,2710.16666666667
"128","p11","armfront","2color",2,48,56.25,2656.4375
"129","p11","armfront","4color",1,48,64.5833333333333,2796.54166666667
"130","p11","armfront","4color",2,48,56.25,2327.25
"131","p11","armfront","baseline",1,48,22.9166666666667,3290.54166666667
"132","p11","armfront","baseline",2,48,41.6666666666667,3298.91666666667
"133","p12","armbody","2color",1,48,89.5833333333333,3304.72916666667
"134","p12","armbody","2color",2,48,93.75,2680.25
"135","p12","armbody","4color",1,48,81.25,3255.3125
"136","p12","armbody","4color",2,48,97.9166666666667,2822.77083333333
"137","p12","armbody","baseline",1,48,64.5833333333333,3024.75
"138","p12","armbody","baseline",2,48,70.8333333333333,2834.16666666667
"139","p12","armfront","2color",1,48,97.9166666666667,2487.27083333333
"140","p12","armfront","2color",2,48,95.8333333333333,2122.58333333333
"141","p12","armfront","4color",1,48,97.9166666666667,2162.91666666667
"142","p12","armfront","4color",2,48,91.6666666666667,2154.14583333333
"143","p12","armfront","baseline",1,48,70.8333333333333,3621.5625
"144","p12","armfront","baseline",2,48,87.5,3300.91666666667
